[prompt] D0  sha256=64bbceb4e171085f chars=12595
[prompt] T   sha256=f268b2b28feb8b29 chars=12794
[prompt] T2  sha256=b5bd18000178e5e7 chars=12851
[setup] 7 queries x 10 runs x 3 variants = 210 calls
[run 1] b05_corporate_vacant_ratio                   13s
[run 1] b10_revenue_without_grouping                 22s
[run 1] b11_origin_only                              36s
[run 1] b14_operating_count_private                  51s
[run 1] b20_region_comparison                        66s
[run 1] b21_bucket_rollup                           121s
[run 1] b24_bucket_rollup_month                     145s
[run 2] b05_corporate_vacant_ratio                  155s
[run 2] b10_revenue_without_grouping                163s
[run 2] b11_origin_only                             178s
[run 2] b14_operating_count_private                 195s
[run 2] b20_region_comparison                       210s
[run 2] b21_bucket_rollup                           271s
[run 2] b24_bucket_rollup_month                     408s
[run 3] b05_corporate_vacant_ratio                  419s
[run 3] b10_revenue_without_grouping                428s
[run 3] b11_origin_only                             442s
[run 3] b14_operating_count_private                 461s
[run 3] b20_region_comparison                       478s
[run 3] b21_bucket_rollup                           527s
[run 3] b24_bucket_rollup_month                     667s
[run 4] b05_corporate_vacant_ratio                  677s
[run 4] b10_revenue_without_grouping                686s
[run 4] b11_origin_only                             697s
[run 4] b14_operating_count_private                 709s
[run 4] b20_region_comparison                       723s
[run 4] b21_bucket_rollup                           782s
[run 4] b24_bucket_rollup_month                     800s
[run 5] b05_corporate_vacant_ratio                  809s
[run 5] b10_revenue_without_grouping                818s
[run 5] b11_origin_only                             829s
[run 5] b14_operating_count_private                 840s
[run 5] b20_region_comparison                       853s
[run 5] b21_bucket_rollup                           919s
[run 5] b24_bucket_rollup_month                     947s
[run 6] b05_corporate_vacant_ratio                  956s
[run 6] b10_revenue_without_grouping                965s
[run 6] b11_origin_only                             979s
[run 6] b14_operating_count_private                 990s
[run 6] b20_region_comparison                      1004s
[run 6] b21_bucket_rollup                          1223s
[run 6] b24_bucket_rollup_month                    1240s
[run 7] b05_corporate_vacant_ratio                 1250s
[run 7] b10_revenue_without_grouping               1259s
[run 7] b11_origin_only                            1270s
[run 7] b14_operating_count_private                1282s
[run 7] b20_region_comparison                      1295s
[run 7] b21_bucket_rollup                          1354s
[run 7] b24_bucket_rollup_month                    1372s
[run 8] b05_corporate_vacant_ratio                 1382s
[run 8] b10_revenue_without_grouping               1391s
[run 8] b11_origin_only                            1402s
[run 8] b14_operating_count_private                1413s
[run 8] b20_region_comparison                      1426s
[run 8] b21_bucket_rollup                          1492s
[run 8] b24_bucket_rollup_month                    1520s
[run 9] b05_corporate_vacant_ratio                 1529s
[run 9] b10_revenue_without_grouping               1538s
[run 9] b11_origin_only                            1552s
[run 9] b14_operating_count_private                1563s
[run 9] b20_region_comparison                      1577s
[run 9] b21_bucket_rollup                          1794s
[run 9] b24_bucket_rollup_month                    1811s
[run 10] b05_corporate_vacant_ratio                 1821s
[run 10] b10_revenue_without_grouping               1831s
[run 10] b11_origin_only                            1841s
[run 10] b14_operating_count_private                1854s
[run 10] b20_region_comparison                      1867s
[run 10] b21_bucket_rollup                          1926s
[run 10] b24_bucket_rollup_month                    1944s
TAXI PROBE DONE
