[prompt] D: sha256=64bbceb4e171085f chars=12595
[prompt] T: sha256=f268b2b28feb8b29 chars=12794
[setup] 25 x 5 x 2 = 250 calls
[rep 1] b01_place_inside_speed                        6s
[rep 1] b02_vicinity_count                           13s
[rep 1] b03_direct_scope_rpm                         19s
[rep 1] b04_operating_ratio_by_day                   24s
[rep 1] b05_corporate_vacant_ratio                   29s
[rep 1] b06_fare_max                                 36s
[rep 1] b07_hours_by_sido                            41s
[rep 1] b08_relative_date_speed                      52s
[rep 1] b09_place_passage_count                      59s
[rep 1] b10_revenue_without_grouping                 65s
[rep 1] b11_origin_only                              71s
[rep 1] b17_destination_only                         83s
[rep 1] b12_out_of_domain                            86s
[rep 1] b18_passage_count_ranking                    92s
[rep 1] b20_region_comparison                       102s
[rep 1] b13_vicinity_vacant_count                   113s
[rep 1] b14_operating_count_private                 121s
[rep 1] b15_fare_median                             128s
[rep 1] b16_weekend_speed                           274s
[rep 1] b19_scope_to_name                           279s
[rep 1] b21_bucket_rollup                           301s
[rep 1] b24_bucket_rollup_month                     324s
[rep 1] b22_passage_count_by_sigungu                334s
[rep 1] b23_passage_count_ranking_with_region       358s
[rep 1] q27_busan_origin_destination_count          363s
[rep 2] b01_place_inside_speed                      370s
[rep 2] b02_vicinity_count                          376s
[rep 2] b03_direct_scope_rpm                        382s
[rep 2] b04_operating_ratio_by_day                  387s
[rep 2] b05_corporate_vacant_ratio                  397s
[rep 2] b06_fare_max                                404s
[rep 2] b07_hours_by_sido                           410s
[rep 2] b08_relative_date_speed                     417s
[rep 2] b09_place_passage_count                     433s
[rep 2] b10_revenue_without_grouping                438s
[rep 2] b11_origin_only                             446s
[rep 2] b17_destination_only                        455s
[rep 2] b12_out_of_domain                           458s
[rep 2] b18_passage_count_ranking                   467s
[rep 2] b20_region_comparison                       476s
[rep 2] b13_vicinity_vacant_count                   489s
[rep 2] b14_operating_count_private                 496s
[rep 2] b15_fare_median                             503s
[rep 2] b16_weekend_speed                           524s
[rep 2] b19_scope_to_name                           533s
[rep 2] b21_bucket_rollup                           706s
[rep 2] b24_bucket_rollup_month                     719s
[rep 2] b22_passage_count_by_sigungu                727s
[rep 2] b23_passage_count_ranking_with_region       831s
[rep 2] q27_busan_origin_destination_count          838s
[rep 3] b01_place_inside_speed                      843s
[rep 3] b02_vicinity_count                          850s
[rep 3] b03_direct_scope_rpm                        855s
[rep 3] b04_operating_ratio_by_day                  861s
[rep 3] b05_corporate_vacant_ratio                  866s
[rep 3] b06_fare_max                                872s
[rep 3] b07_hours_by_sido                           878s
[rep 3] b08_relative_date_speed                     889s
[rep 3] b09_place_passage_count                     896s
[rep 3] b10_revenue_without_grouping                902s
[rep 3] b11_origin_only                             908s
[rep 3] b17_destination_only                        920s
[rep 3] b12_out_of_domain                           923s
[rep 3] b18_passage_count_ranking                   930s
[rep 3] b20_region_comparison                       939s
[rep 3] b13_vicinity_vacant_count                   951s
[rep 3] b14_operating_count_private                 958s
[rep 3] b15_fare_median                             965s
[rep 3] b16_weekend_speed                          1111s
[rep 3] b19_scope_to_name                          1116s
[rep 3] b21_bucket_rollup                          1138s
[rep 3] b24_bucket_rollup_month                    1161s
[rep 3] b22_passage_count_by_sigungu               1171s
[rep 3] b23_passage_count_ranking_with_region      1195s
[rep 3] q27_busan_origin_destination_count         1200s
[rep 4] b01_place_inside_speed                     1207s
[rep 4] b02_vicinity_count                         1213s
[rep 4] b03_direct_scope_rpm                       1219s
[rep 4] b04_operating_ratio_by_day                 1225s
[rep 4] b05_corporate_vacant_ratio                 1234s
[rep 4] b06_fare_max                               1240s
[rep 4] b07_hours_by_sido                          1247s
[rep 4] b08_relative_date_speed                    1254s
[rep 4] b09_place_passage_count                    1270s
[rep 4] b10_revenue_without_grouping               1274s
[rep 4] b11_origin_only                            1283s
[rep 4] b17_destination_only                       1292s
[rep 4] b12_out_of_domain                          1295s
[rep 4] b18_passage_count_ranking                  1304s
[rep 4] b20_region_comparison                      1313s
[rep 4] b13_vicinity_vacant_count                  1327s
[rep 4] b14_operating_count_private                1333s
[rep 4] b15_fare_median                            1340s
[rep 4] b16_weekend_speed                          1362s
[rep 4] b19_scope_to_name                          1370s
[rep 4] b21_bucket_rollup                          1543s
[rep 4] b24_bucket_rollup_month                    1556s
[rep 4] b22_passage_count_by_sigungu               1564s
[rep 4] b23_passage_count_ranking_with_region      1669s
[rep 4] q27_busan_origin_destination_count         1676s
[rep 5] b01_place_inside_speed                     1681s
[rep 5] b02_vicinity_count                         1688s
[rep 5] b03_direct_scope_rpm                       1693s
[rep 5] b04_operating_ratio_by_day                 1698s
[rep 5] b05_corporate_vacant_ratio                 1704s
[rep 5] b06_fare_max                               1710s
[rep 5] b07_hours_by_sido                          1716s
[rep 5] b08_relative_date_speed                    1727s
[rep 5] b09_place_passage_count                    1734s
[rep 5] b10_revenue_without_grouping               1740s
[rep 5] b11_origin_only                            1746s
[rep 5] b17_destination_only                       1758s
[rep 5] b12_out_of_domain                          1761s
[rep 5] b18_passage_count_ranking                  1768s
[rep 5] b20_region_comparison                      1777s
[rep 5] b13_vicinity_vacant_count                  1789s
[rep 5] b14_operating_count_private                1796s
[rep 5] b15_fare_median                            1803s
[rep 5] b16_weekend_speed                          1948s
[rep 5] b19_scope_to_name                          1953s
[rep 5] b21_bucket_rollup                          1974s
[rep 5] b24_bucket_rollup_month                    1998s
[rep 5] b22_passage_count_by_sigungu               2008s
[rep 5] b23_passage_count_ranking_with_region      2031s
[rep 5] q27_busan_origin_destination_count         2037s
FULL TAXI AB DONE
