record_id,taxi_id,service_date,closed_at,scope,taxi_type,revenue_krw
r01,T01,2026-07-31,2026-07-31T22:00:00+09:00,scope:ref:district:garam,private,999000
r02,T01,2026-08-01,2026-08-02T01:10:00+09:00,scope:ref:district:garam,private,100000
r03,T01,2026-08-03,2026-08-03T21:00:00+09:00,scope:ref:district:garam,private,120000
r04,T02,2026-08-03,2026-08-03T23:40:00+09:00,scope:ref:district:garam,private,80000
r05,T03,2026-08-05,2026-08-05T20:15:00+09:00,scope:ref:district:garam,private,100000
r06,T01,2026-08-10,2026-08-10T22:30:00+09:00,scope:ref:district:garam,private,150000
r07,T02,2026-08-12,2026-08-12T19:50:00+09:00,scope:ref:district:garam,private,150000
r08,T03,2026-08-14,2026-08-14T21:05:00+09:00,scope:ref:district:garam,private,
r09,T01,2026-08-18,2026-08-18T22:10:00+09:00,scope:ref:district:garam,private,90000
r10,T02,2026-08-19,2026-08-19T23:00:00+09:00,scope:ref:district:garam,private,110000
r11,T03,2026-08-20,2026-08-20T18:30:00+09:00,scope:ref:district:garam,private,50000
r12,T01,2026-08-21,2026-08-21T21:45:00+09:00,scope:ref:district:garam,private,30000
r13,T02,2026-08-25,2026-08-26T00:30:00+09:00,scope:ref:district:garam,private,200000
r14,T03,2026-08-31,2026-08-31T22:20:00+09:00,scope:ref:district:garam,private,60000
r15,T01,2026-09-01,2026-09-01T21:00:00+09:00,scope:ref:district:garam,private,888000
r16,C01,2026-08-04,2026-08-04T22:00:00+09:00,scope:ref:district:garam,corporate,50000
r17,C02,2026-08-11,2026-08-11T20:40:00+09:00,scope:ref:district:garam,corporate,70000
r18,C01,2026-08-12,2026-08-12T23:15:00+09:00,scope:ref:district:garam,corporate,40000
r19,C02,2026-08-26,2026-08-26T21:30:00+09:00,scope:ref:district:garam,corporate,90000
r20,N01,2026-08-02,2026-08-02T20:00:00+09:00,scope:ref:district:narae,private,40000
r21,N02,2026-08-06,2026-08-06T22:00:00+09:00,scope:ref:district:narae,private,60000
r22,N01,2026-08-13,2026-08-13T21:30:00+09:00,scope:ref:district:narae,private,80000
r23,N02,2026-08-14,2026-08-14T19:00:00+09:00,scope:ref:district:narae,private,20000
r24,N01,2026-08-19,2026-08-19T23:50:00+09:00,scope:ref:district:narae,private,70000
r25,N02,2026-08-27,2026-08-27T22:40:00+09:00,scope:ref:district:narae,private,50000
r26,N01,2026-08-31,2026-08-31T20:10:00+09:00,scope:ref:district:narae,private,30000
r27,D01,2026-08-10,2026-08-10T22:00:00+09:00,scope:ref:district:narae,corporate,500000
